Number,Order ID,Order Date,SKU,Product Name,Category,Qty,Selling Price,Customer City,State,Order Status
1,MS2606001,46174,SKU101,Floral Cotton Kurti,Women's Kurtis,1,799,Delhi,Delhi,Delivered
2,MS2606002,46174,SKU102,Rayon Printed Kurti,Women's Kurtis,2,1498,Jaipur,Rajasthan,Delivered
3,MS2606003,46175,SKU103,Anarkali Kurti,Women's Kurtis,1,1199,Lucknow,Uttar Pradesh,Delivered
4,MS2606004,46175,SKU104,Straight Kurta Set,Kurta Sets,1,1699,Noida,Uttar Pradesh,Delivered
5,MS2606005,46176,SKU105,Embroidered Kurti,Women's Kurtis,1,999,Pune,Maharashtra,Returned
6,MS2606006,46176,SKU106,Cotton Kurta Set,Kurta Sets,2,2798,Indore,Madhya Pradesh,Delivered
7,MS2606007,46177,SKU101,Floral Cotton Kurti,Women's Kurtis,1,799,Ahmedabad,Gujarat,Delivered
8,MS2606008,46177,SKU107,Printed A-Line Kurti,Women's Kurtis,1,899,Patna,Bihar,Delivered
9,MS2606009,46178,SKU108,Palazzo Set,Kurta Sets,1,1899,Chandigarh,Chandigarh,Delivered
10,MS2606010,46178,SKU102,Rayon Printed Kurti,Women's Kurtis,1,749,Delhi,Delhi,Delivered
11,MS2606011,46179,SKU109,Festive Kurti,Women's Kurtis,2,2398,Bhopal,Madhya Pradesh,Delivered
12,MS2606012,46180,SKU104,Straight Kurta Set,Kurta Sets,1,1699,Mumbai,Maharashtra,Delivered
13,MS2606013,46180,SKU110,Cotton Printed Dress,Dresses,1,1399,Surat,Gujarat,Delivered
14,MS2606014,46181,SKU111,Casual Maxi Dress,Dresses,1,1599,Kanpur,Uttar Pradesh,Returned
15,MS2606015,46181,SKU103,Anarkali Kurti,Women's Kurtis,1,1199,Delhi,Delhi,Delivered
16,MS2606016,46182,SKU101,Floral Cotton Kurti,Women's Kurtis,3,2397,Jaipur,Rajasthan,Delivered
17,MS2606017,46183,SKU105,Embroidered Kurti,Women's Kurtis,1,999,Ranchi,Jharkhand,Delivered
18,MS2606018,46183,SKU112,Chikankari Kurti,Women's Kurtis,2,2598,Nagpur,Maharashtra,Delivered
19,MS2606019,46184,SKU108,Palazzo Set,Kurta Sets,1,1899,Agra,Uttar Pradesh,Delivered
20,MS2606020,46185,SKU107,Printed A-Line Kurti,Women's Kurtis,1,899,Delhi,Delhi,Delivered
21,MS2606021,46186,SKU109,Festive Kurti,Women's Kurtis,1,1199,Jaipur,Rajasthan,Delivered
22,MS2606022,46186,SKU106,Cotton Kurta Set,Kurta Sets,1,1399,Meerut,Uttar Pradesh,Delivered
23,MS2606023,46187,SKU110,Cotton Printed Dress,Dresses,2,2798,Ludhiana,Punjab,Delivered
24,MS2606024,46188,SKU101,Floral Cotton Kurti,Women's Kurtis,1,799,Delhi,Delhi,Delivered
25,MS2606025,46188,SKU104,Straight Kurta Set,Kurta Sets,1,1699,Jaipur,Rajasthan,Returned
26,MS2606026,46189,SKU111,Casual Maxi Dress,Dresses,1,1599,Vadodara,Gujarat,Delivered
27,MS2606027,46190,SKU103,Anarkali Kurti,Women's Kurtis,2,2398,Delhi,Delhi,Delivered
28,MS2606028,46191,SKU112,Chikankari Kurti,Women's Kurtis,1,1299,Dehradun,Uttarakhand,Delivered
29,MS2606029,46191,SKU102,Rayon Printed Kurti,Women's Kurtis,1,749,Kolkata,West Bengal,Delivered
30,MS2606030,46192,SKU108,Palazzo Set,Kurta Sets,2,3798,Hyderabad,Telangana,Delivered
31,MS2606031,46193,SKU105,Embroidered Kurti,Women's Kurtis,1,999,Delhi,Delhi,Delivered
